checking,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,other_debtors,residence,property,age,other_installments,housing,existing_credits,job,dependents,telephone,foreign,target
< 0 DM,6,Critical/other existing credits,Radio/TV,1169,Unknown/no savings,>=7 years,4,Male: single,None,4,Real estate,67,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,48,Existing paid duly,Radio/TV,5951,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Real estate,22,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Critical/other existing credits,Education,2096,<100 DM,4–7 years,2,Male: single,None,3,Real estate,49,None,Own,1,Unskilled resident,2,None,Yes,Good
< 0 DM,42,Existing paid duly,Furniture/equipment,7882,<100 DM,4–7 years,2,Male: single,Guarantor,4,Building society/life insurance,45,None,For free,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,24,Delay in past,New car,4870,<100 DM,1–4 years,3,Male: single,None,4,Unknown/no property,53,None,For free,2,Skilled employee/official,2,None,Yes,Bad
No checking account,36,Existing paid duly,Education,9055,Unknown/no savings,1–4 years,2,Male: single,None,4,Unknown/no property,35,None,For free,1,Unskilled resident,2,Yes,Yes,Good
No checking account,24,Existing paid duly,Furniture/equipment,2835,500–1000 DM,>=7 years,3,Male: single,None,4,Building society/life insurance,53,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Existing paid duly,Used car,6948,<100 DM,1–4 years,2,Male: single,None,2,Car/other,35,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Radio/TV,3059,>=1000 DM,4–7 years,2,Male: divorced/separated,None,4,Real estate,61,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,30,Critical/other existing credits,New car,5234,<100 DM,Unemployed,4,Male: married/widowed,None,2,Car/other,28,None,Own,2,Management/self-employed/highly qualified,1,None,Yes,Bad
0–200 DM,12,Existing paid duly,New car,1295,<100 DM,<1 year,3,Female: divorced/separated/married,None,1,Car/other,25,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,48,Existing paid duly,Business,4308,<100 DM,<1 year,3,Female: divorced/separated/married,None,4,Building society/life insurance,24,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,12,Existing paid duly,Radio/TV,1567,<100 DM,1–4 years,1,Female: divorced/separated/married,None,1,Car/other,22,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,24,Critical/other existing credits,New car,1199,<100 DM,>=7 years,4,Male: single,None,4,Car/other,60,None,Own,2,Unskilled resident,1,None,Yes,Bad
< 0 DM,15,Existing paid duly,New car,1403,<100 DM,1–4 years,2,Female: divorced/separated/married,None,4,Car/other,28,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,24,Existing paid duly,Radio/TV,1282,100–500 DM,1–4 years,4,Female: divorced/separated/married,None,2,Car/other,32,None,Own,1,Unskilled resident,1,None,Yes,Bad
No checking account,24,Critical/other existing credits,Radio/TV,2424,Unknown/no savings,>=7 years,4,Male: single,None,4,Building society/life insurance,53,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,30,No credits/all paid,Business,8072,Unknown/no savings,<1 year,2,Male: single,None,3,Car/other,25,Bank,Own,3,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Existing paid duly,Used car,12579,<100 DM,>=7 years,4,Female: divorced/separated/married,None,2,Unknown/no property,44,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,24,Existing paid duly,Radio/TV,3430,500–1000 DM,>=7 years,3,Male: single,None,2,Car/other,31,None,Own,1,Skilled employee/official,2,Yes,Yes,Good
No checking account,9,Critical/other existing credits,New car,2134,<100 DM,1–4 years,4,Male: single,None,4,Car/other,48,None,Own,3,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,6,Existing paid duly,Radio/TV,2647,500–1000 DM,1–4 years,2,Male: single,None,3,Real estate,44,None,Rent,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,10,Critical/other existing credits,New car,2241,<100 DM,<1 year,1,Male: single,None,3,Real estate,48,None,Rent,2,Unskilled resident,2,None,No,Good
